,id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minDHW,minTHW,minTTC,min_xVelocity,max_xVelocity,mean_xVelocity,min_yVelocity,max_yVelocity,mean_yVelocity,min_xAcceleration,max_xAcceleration,mean_xAcceleration,min_yAcceleration,max_yAcceleration,mean_yAcceleration,min_frontSightDistance,max_frontSightDistance,min_backSightDistance,max_backSightDistance,min_precedingXVelocity,max_precedingXVelocity,mean_laneId,numLaneChanges
0,1,4.24,1.82,1,32,32,1,2,39.51,-1.0,-1.0,-1.0,31.66,32.41,32.03,-0.09,-0.03,-0.06,0.56,0.61,0.6,0.0,0.03,0.02,-1.47,36.13,375.49,413.08,0.0,0.0,6.0,0
1,2,4.14,1.82,1,45,45,1,1,65.37,-1.0,-1.0,-1.0,-37.61,-36.77,-37.2,-0.0,0.1,0.04,-0.52,-0.44,-0.48,0.0,0.06,0.04,-0.56,64.07,347.55,412.17,0.0,0.0,4.0,0
2,3,17.99,2.5,1,49,49,0,2,50.81,-1.0,-1.0,-1.0,26.25,26.9,26.57,0.18,0.2,0.19,0.29,0.34,0.33,0.0,0.01,0.01,-9.6,39.26,372.36,421.22,0.0,0.0,8.0,0
3,4,17.79,2.5,1,51,51,0,2,54.43,-1.0,-1.0,-1.0,26.72,27.93,27.32,0.0,0.03,0.02,0.56,0.62,0.61,0.0,0.01,0.01,-9.8,41.84,369.78,421.42,0.0,0.0,7.0,0
4,5,4.85,1.92,1,75,75,1,2,78.64,24.5,0.92,-1.0,25.95,27.4,26.66,-0.07,0.27,0.12,0.4,0.51,0.49,-0.12,-0.01,-0.1,-1.82,75.95,335.67,413.44,0.0,26.9,8.0,0
5,6,4.65,1.92,1,87,87,1,2,123.96,55.61,1.53,13.53,35.45,36.73,36.13,0.08,0.11,0.09,0.28,0.45,0.37,-0.0,0.01,0.0,-2.07,120.51,291.1,413.65,0.0,32.1,6.0,0
6,7,17.58,2.5,1,97,97,0,2,105.75,35.73,1.31,-1.0,26.46,28.54,27.55,-0.97,0.21,-0.33,0.48,0.67,0.54,0.03,0.28,0.25,-9.2,95.65,315.96,420.8,0.0,27.93,7.0,0
7,8,5.66,2.12,1,112,112,1,2,124.74,10.06,0.36,5.27,26.57,29.11,28.11,0.09,0.34,0.26,-0.83,-0.07,-0.57,-0.11,0.03,-0.05,-2.27,121.93,289.69,413.87,0.0,28.54,7.0,0
8,9,5.05,1.92,1,114,114,1,1,162.68,91.12,2.47,821.95,-36.88,-35.13,-36.03,0.03,0.18,0.07,0.27,0.47,0.39,-0.06,0.01,-0.02,-2.09,159.78,251.84,413.54,-37.61,0.0,4.0,0
9,10,4.55,2.02,1,118,118,1,2,130.81,44.24,1.56,44.28,26.4,28.86,27.95,0.0,0.16,0.09,0.23,0.98,0.52,-0.06,0.06,-0.01,-1.82,127.84,283.78,413.45,0.0,27.4,8.0,0
10,11,11.62,2.5,1,123,123,0,1,114.64,-1.0,-1.0,-1.0,-23.74,-23.24,-23.5,-0.01,0.15,0.03,-0.02,0.2,0.1,-0.01,0.07,0.03,-6.07,108.39,303.23,417.38,0.0,0.0,2.0,0
